,Название,Город,Описание,Ссылки
0,.solutions,Санкт-Петербург,Проект Глеба Костина.,"['https://www.nobody.solutions/?ref=russianstreetwear.club', 'https://www.instagram.com/glebkostinsolutions?ref=russianstreetwear.club']"
1,1377,Волгоград,"1377 — это своего рода естественный пункт назначения профессиональной деятельности. Мы не хотим изменить мир, мы меняем себя, работая для вас.","['https://1377.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/thirteenseventyseven/?ref=russianstreetwear.club']"
2,43.FREEDOM,Казань,"Российский бренд streetwear одежды - 43.FREEDOM из города Казань.  43.FREEDOM - это бренд про свободу, чья концепция заключается в эксклюзивной дизайнерской одежде. Мы за то, чтобы человек одевался так, как нравится, а наша задача - лишь дать ему выбор.  FREEDOM - это также и свобода творчества для самого дизайнера, чьи коллекции создаются из премиальных тканей и посредством собственного пошива, со своим размерным рядом в оверсайз формате, с собственными дизайнерскими принтами и элементами. Из этого всего и складывается цена, и она будет расти, как и ценность и уникальность товаров.  «Мы не задаем моду, мы и есть мода»: мы не слепо идем за модой «здесь и сейчас», мы создаём свою моду для нашей аудитории, предлагая им свободу выбора. 43’ - это не только бренд одежды, это характер, это стиль жизни, это наш стиль. Мы создаем только то, что сами мечтали носить, и даем возможность другим разделять наши взгляды в одежде и в стиле жизни.  Свобода - это главное слово в наше время. Не становись тем, кто зависит от чужого мнения, стань независимым в своем выборе, будь свободным, будь уникальным вместе с 43' !","['http://43freedom.ru/?ref=russianstreetwear.club', 'https://instagram.com/43.freedom?ref=russianstreetwear.club', 'https://vk.com/43freedom?ref=russianstreetwear.club']"
3,4SOME,Санкт-Петербург,"Концепт нашего бренда заключается в совокупности уникальности и комфорта, а также особого внимания к деталям. Мы вдохновлены современным прогрессивным поколением, которое не боится выходить за рамки.","['https://www.instagram.com/fo.some?ref=russianstreetwear.club', 'https://vk.com/4someclo?ref=russianstreetwear.club']"
4, _levitacia^,Санкт-Петербург,Успех для каждого свой. Но чувство одно - левитация.,"['https://levitacia.co/?ref=russianstreetwear.club', 'https://www.instagram.com/levitacia.co/?ref=russianstreetwear.club', 'https://vk.com/levitacia_0?ref=russianstreetwear.club']"
5,a401 | мастерская,Вологда,"мы – братья, основавшиемастерскую «a401».создаём вещи по своему вкусу,не ориентируясь на рынок, трендыи прочие сиюминутные веяния.помимо одежды, в мастерской создаютсякартины, скульптуры, предметы декора,различные аксессуары, да и вообще,много интересных вещей.a401 – место рождения искреннеготворчества.","['https://a401.store/?ref=russianstreetwear.club', 'https://www.instagram.com/a401store/?ref=russianstreetwear.club', 'https://vk.com/a401store?ref=russianstreetwear.club']"
6,AAA by Sergei Desev,Москва,"AAA / Tripple A / Трипл эй - неформальный термин, обозначающий класс высокобюджетной одежды, изготавливаемой технологиями ручного пошива. Каждое изделие выполнено в формате полу-индивидуального подхода с учётом параметров и особенностей клиента.","['http://www.instagram.com/aaasergeidesev/?ref=russianstreetwear.club', 'https://vk.com/aaasergeidesev?ref=russianstreetwear.club']"
7,ACK ITEMS,Москва,"ACK ITEMS - это практичность, эстетика, и функциональность.Все изделия изготавливаться вручную нашей командой.Эксперименты с цветом, формой, вариантами функциональности, и различными материалами.","['https://instagram.com/ack_items?ref=russianstreetwear.club', 'https://t.me/ackitems?ref=russianstreetwear.club', 'https://vk.com/ack_items?ref=russianstreetwear.club']"
8,ACREAL,Москва,ACREAL — это фристайл за швейной машинкой без права на повтор.,['https://www.instagram.com/_acreal_/?ref=russianstreetwear.club']
9,Advolatum,Санкт-Петербург,"Мир меняется - Мы к этому готовы!Уличный бренд объединяет в себе индивидуальность и тенденции.","['https://advolatum.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/advolatum.shop/?ref=russianstreetwear.club', 'https://vk.com/advolatum.shop?ref=russianstreetwear.club']"
10,AFOUR Custom Footwear,Санкт-Петербург,"С 2009 года шьем разрабатываем и шьем кастом кроссовки на основе своих эскизов. Главное, каждый клиент может создать свой уникальный цветовой дизайн с помощью онлайн-конструктору и набора апгрейдов: вышивка, печать, лазерная гравировка и тдРегулярно выпускаем коллаборации со стритвир брендами и творцами всех мастей от художников до пивоваров.Всю производим сами на собственном производстве в Санкт-Петербурге.","['https://afourcustom.ru/?ref=russianstreetwear.club', 'http://instagram.com/afourcustom?ref=russianstreetwear.club', 'http://vk.com/afourstore?ref=russianstreetwear.club']"
11,All City Pigeon,Москва,"All City Pigeon — московский бренд уличной одежды, неразрывно связанный со сценой столичного стрит-арта и граффити. Логотип бренда, Голубь — главный персонаж известного уличного художника Frolk, рисующего на улицах Москвы с 2015 года, чьи стикеры с персонажем стали неотъемлемой частью столицы и одной из самых узнаваемых наклеек на просторах СНГ. Со временем простой мерч художника перерос в полноценный и самостоятельный бренд — AllCityPigeon, — концепция которого объединяет под своим крылом фирменный стиль автора как основу его творчества, а также вдохновение мировой и местной уличной культурой и модой.",['https://www.allcitypigeon.com/?ref=russianstreetwear.club']
12,Ammour World,None,"Бренд одежды основан в 2021 году. При создании вещей мы часто обращаемся к эстетике борьбы и любви, наше название как раз таки отсылает к этим двум явлениям (ammo+amore, боеприпасы и любовь). И боеприпасы - это не только про пули и гранаты, а так же внутреннюю энергию живого существа, моральные и ментальные ресурсы каждого из нас.","['https://ammour.store/?ref=russianstreetwear.club', 'https://vk.com/ammourworld?ref=russianstreetwear.club']"
13,Anteater,Санкт-Петербург,"Российская субкультурная марка уличной одежды, родившаяся в 2007 году в городе Санкт-Петербурге.","['http://anteaterclothing.com/?ref=russianstreetwear.club', 'https://vk.com/anteaterclothing?ref=russianstreetwear.club', 'https://www.instagram.com/anteater_clothing/?ref=russianstreetwear.club']"
14,Antisocial,Москва,"ANTISÖСIAL — это бренд, который не играет по общепринятым правилам. Наша аудитория не гонится за дорогостоящими марками, которые не обращают внимания на качество, а предпочитают вещи, сделанные на совесть. Наша одежда — простая, функциональная и комфортная. Минималистичный дизайн отлично впишется в любой гардероб и идеально подойдёт всем тем, кто знает чего хочет.","['https://antisocialbrand.com/?ref=russianstreetwear.club', 'https://www.instagram.com/antisocial_brand/?ref=russianstreetwear.club', 'https://www.instagram.com/antisocial_brand/?utm_medium=copy_link&ref=russianstreetwear.club']"
15, ANTON AN / AN.WEARABLE,Москва,"Игра стиля и собственного творческого вайба. Бренд, как внутреннее отражение его создателя в стремление к высокому и благородному.","['https://anwearable.com/?ref=russianstreetwear.club', 'https://www.instagram.com/anwearable/?ref=russianstreetwear.club', 'https://vk.com/anwearable?ref=russianstreetwear.club']"
16,Antyqua,Санкт-Петербург,Футуризм на рубеже тысячелетий.,['https://www.instagram.com/antyqua/?ref=russianstreetwear.club']
17,Arrier Gritte,None,Авторские идеи и взгляд на стиль.Ты не увидишь здесь картинок с Pinterest и пережеванных прошлогодних идей западных брендов. Все образы придуманы автором.,"['https://www.instagram.com/arriergritte/?ref=russianstreetwear.club', 'https://vk.com/arriergritte?ref=russianstreetwear.club']"
18,Arti Lorétsi,Москва,"Аrti Lorétsi - это новоиспеченный бренд одежды. Принты представляют собой вымышленный мир со своей историей. Мы делаем только первые шаги в мире одежды, но уже уверены, что Вас что-то зацепит! Любая поддержка важна, только с вашей помощью у нас всё получится! Создание чего-то нового и интересного - одна из нащих главных целей.","['http://artiloretsi.ru/?ref=russianstreetwear.club', 'https://instagram.com/arti.loretsi?ref=russianstreetwear.club', 'https://vk.com/artiloretsi?ref=russianstreetwear.club']"
19,ASCENSION,Москва,"ASCENSION - это российский бренд одежды, принцип которого заключается в умеренном сочетании творчества и качества,идущее в ногу с реалиями модной индустрии, для тех, кто ценит свободу и доверяет своему выбору.Мы стремимся к созданию современной, стильной одежды которая будет контрастировать в вашем гардеробе. Бренд вносит комплементарные цвета в образ и в стилистику каждого.","['https://ascensionbrand.ru/?ref=russianstreetwear.club', 'https://instagram.com/ascension.brnd?ref=russianstreetwear.club', 'https://vk.com/ascension_brand?ref=russianstreetwear.club']"
20,Astronautics1961,Санкт-Петербург,"«Astronautics1961» — для тех, кто смотрит в небо.","['https://a1961.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/astronautics1961/?ref=russianstreetwear.club', 'https://vk.com/astronautics1961?ref=russianstreetwear.club']"
21, AUTOMATIC VERTICAL,Екатеринбург,"Бренд одежды, который был создан в июле 2019 года в городе Екатеринбург олицетворяет быстрый взлёт и подъём.Создатель бренда при создании вещей вдохновляется как предметами исскуств так и людьми, которые его окружают. Основная цель бренда предоставить людям вещи хорошего качества, сохранившую в ней идею при создании.","['https://automaticvertical.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/automaticvertical/?ref=russianstreetwear.club', 'https://vk.com/automaticvertical?ref=russianstreetwear.club']"
22,Awesome Chains,Санкт-Петербург,Awesome Chains — это нестандартные идеи вдохновленные эстетикой интернета и одиночества.,"['https://www.instagram.com/awsmrinat/?ref=russianstreetwear.club', 'https://vk.com/awesomechains?ref=russianstreetwear.club']"
23,BAD HABIT,Ижевск,Ижевский бренд уличной одежды. Делаем качественные базовые вещи с 2015 года.,"['https://www.instagram.com/badhabitrussia/?ref=russianstreetwear.club', 'https://vk.com/badhabitrussia?ref=russianstreetwear.club']"
24,Bat Norton,Санкт-Петербург,"Bat Norton — бренд уличной одежды из Санкт-Петербурга, который не намерен продавать людям стереотипы и заезженные тренды, а напротив — готов создавать одежду для парней и девушек, которые не стесняются выражать себя через нестандартные образы.","['https://batnorton.com/?ref=russianstreetwear.club', 'https://www.instagram.com/batnorton/?ref=russianstreetwear.club', 'https://vk.com/batnorton?ref=russianstreetwear.club']"
25,BELLE,Санкт-Петербург,Лимитированная дизайнерская уличная одежда из Санкт-Петербурга. Бренд собрал в себе все лучшие фишки западного streetwear'a совместив с своим стилем.,"['https://www.instagram.com/bexxeey/?ref=russianstreetwear.club', 'https://vk.com/bellevetements?ref=russianstreetwear.club']"
26,BIT,Тюмень,"База, приумноженная на тренды.","['http://bit-tmn.ru/?ref=russianstreetwear.club', 'https://instagram.com/bit_tmn?ref=russianstreetwear.club', 'https://vk.com/bit_tmn?ref=russianstreetwear.club']"
27,BLACKFISK,Москва,"Бренд BLÄCKFISK был основан в Москве в 2020 году. Название бренда одежды BLÄCKFISK происходит от шведского слова, означающего осьминога. Это отражение сочетания морской и скандинавской тематик, которые играют ключевую роль в дизайне и концепции бренда. Мы стремимся создавать одежду, которая будет столь же гибкой и адаптивной к различным ситуациям и настроениям своих обладателей. Новые материалы, техники обработки тканей являются основными составляющими философии бренда BLÄCKFISK и позволяют создавать удобную, стильную одежду уделяя особое внимание комфорту и качеству. ","['https://www.blackfiskshop.ru/?ref=russianstreetwear.club', 'https://instagram.com/blackfisk_moscow?ref=russianstreetwear.club', 'https://vk.com/blackfiskwear?ref=russianstreetwear.club']"
28,BLESSED,Москва,"однажды ты будешь благословлен","['https://blessedclo.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/squad_blessed/?ref=russianstreetwear.club', 'https://vk.com/squadblessed?ref=russianstreetwear.club']"
29,BLK CROWN,Тамбов,Мы делаем качественную одежду и аксессуары.Наша география охватывает практически все точки нашей необъятной родины и ближнего зарубежья!,"['https://www.instagram.com/blkcrownbrand/?ref=russianstreetwear.club', 'https://vk.com/blkcrown?ref=russianstreetwear.club']"
30,Bolgari,Казань,"Концепция бренда заключается в поиске новой татарской идентичности через исследование культуры и истории народа.","['https://t.me/+TGb8tTQAqLNkNDky?ref=russianstreetwear.club', 'https://www.instagram.com/bolgari.project/?ref=russianstreetwear.club']"
31,Boomzi,Грозный,"Boomzi — это концептуальный стрит-вир бренд одежды и аксессуаров. Центральной идеей является сохранение истории разных кавказских народов, в первую очередь чеченского народа, так как бренд был основан в Чечне, а также выражение истории и культуры с помощью повседневных атрибутов, например, одежды.","['https://boomzi.co/?ref=russianstreetwear.club', 'https://www.instagram.com/boomzi/?ref=russianstreetwear.club', 'https://vk.com/boomzi?ref=russianstreetwear.club']"
32,BOOOMERANGS,Тула,"Мы - молодой бренд из города Тула. Да-да, это там где оружейные заводы, знаменитые Тульские пряники и самовары. Мы ""произвели на свет"" более 200 моделей носков (как мемных, так и просто ярких). Также, мы создаем очень качественную одежду. В нашем ассортименте есть худи, футболки, шорты. В дальнейшем, вас ждет еще множество новинок!","['https://www.booomerangs.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/bmgbrand/?ref=russianstreetwear.club', 'https://vk.com/bmgbrand?ref=russianstreetwear.club']"
33,by Matsumura,Москва,"by Matsumura - российский бренд, основанный в Москве, но душой находящийся в Японии.Изящные Токийские улицы, необычный стиль жителей и жестокая мафия Якудза. Наша команда хочет почувствовать причастность к этой культуре, создав свою, особенную и уникальную, сформировав своё собственное коммьюнити.","['https://www.bymatsumura.com/?ref=russianstreetwear.club', 'https://www.instagram.com/by_matsumura/?ref=russianstreetwear.club', 'https://vk.com/by_matsumura?ref=russianstreetwear.club']"
34,BYKOV ATELIER ,Тверь,None,"['https://www.instagram.com/bykovatelier/?ref=russianstreetwear.club', 'https://vk.com/bykovatelier?ref=russianstreetwear.club']"
35,Called a Garment,Нижний Новгород,"Мы устанавливаем психофизиологические атрибуты продуктов.Мы обеспечиваем душевный комфорт и удовлетворяем физиологические потребности человека.Мы создаем эстетичную одежду с комфортными условиями для тела, которая хорошо сидит и антропометрически соответствует.","['https://calledagarment.com/?ref=russianstreetwear.club', 'https://www.instagram.com/calledagarment_worldwide/?ref=russianstreetwear.club', 'https://vk.com/calledagarment?ref=russianstreetwear.club']"
36,CAWAII,Москва,None,"['https://cawaii.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/the.cawaii/?ref=russianstreetwear.club', 'https://vk.com/the.cawaii?ref=russianstreetwear.club']"
37,Church.,Москва,"Мы сами называем наш стиль - «богемный панк», объединение элегантности классических силуэтов с протестным и свободолюбивым духом панк-движения.Мы считаем, что у каждого человека должна быть возможность заниматься тем, во что он верит, чему он по истине готов посвятить жизнь. Именно это, на наш взгляд, и создаст гармонию в обществе.","['https://www.instagram.com/church.moscow/?ref=russianstreetwear.club', 'https://vk.com/church.moscow?ref=russianstreetwear.club']"
38,CIRCLE OF UNITY,Санкт-Петербург,"Circle of Unity – независимый бренд из Санкт-Петербурга, который производит лимитированные коллекции качественных минималистичных вещей","['https://circle-of-unity.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/circle_of_unity?ref=russianstreetwear.club', 'https://vk.com/circleofunity?ref=russianstreetwear.club']"
39,CIVIL | ЦИВИЛ,Тверь,"CIVIΛ(ЦИВИЛ) - российский бренд одежды, созданный в 2020 году Егором Рапинчук. Бренд быстро набирает популярность среди молодежи","['http://civilstreet.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/civil.street/?ref=russianstreetwear.club', 'https://vk.com/civilic?ref=russianstreetwear.club']"
40,CODERED,None,"КОДРЭД — культовая отечественная марка одежды, поддерживающая граффити-сообщество и активную творческую молодёжь. Все вещи производятся ограниченными тиражами исключительно в России.","['https://codered.su/?ref=russianstreetwear.club', 'https://www.instagram.com/codered_store/?ref=russianstreetwear.club', 'https://vk.com/coderedstoremoscow?ref=russianstreetwear.club']"
